"Text, Sentiment, Source, Date/Time, User ID, Location, Confidence Score"
"""I'm disappointed with the food at this restaurant. It was tasteless."", Negative, Zomato, 2023-07-10 11:32:59, foodcritic123, Mumbai, 0.68"
"""This song always puts me in a good mood. It's my go-to feel-good track!"", Positive, Spotify, 2023-07-10 14:20:05, playlistlover456, Berlin, 0.93"
"""The website is slow and unresponsive. Difficult to navigate."", Negative, Website Review, 2023-07-10 17:15:22, user24680, Toronto, 0.65"
"""The roller coaster ride was exhilarating! Pure adrenaline rush!"", Positive, Theme Park Review, 2023-07-10 20:02:37, thrillseeker789, Orlando, 0.95"
"""The product I ordered arrived damaged. Very disappointed with the packaging."", Negative, Online Store, 2023-07-11 08:40:51, buyer7890, Chicago, 0.67"
"""I'm captivated by this band's unique sound. They're a breath of fresh air!"", Positive, Music Review, 2023-07-11 11:22:17, musicfan567, London, 0.94"
"""The customer support was quick to respond and resolved my issue. Impressed!"", Positive, Online Chat, 2023-07-11 14:18:42, user123456, Sydney, 0.85"
"""This restaurant has the best food. I highly recommend it!"", Positive, Yelp Reviews, 2023-07-11 17:30:15, foodie246, Los Angeles, 0.90"
"""The plot of this movie is confusing and hard to follow."", Negative, IMDb, 2023-07-11 20:15:42, moviegoer789, London, 0.62"
"""I'm addicted to this game. It's so much fun!"", Positive, Gaming Forum, 2023-07-12 09:05:59, gamer123, New York, 0.88"
"""The customer service at this hotel was terrible. Avoid at all costs."", Negative, Travel Website, 2023-07-12 11:45:27, traveler246, Paris, 0.57"
"""This book bored me to tears. I couldn't finish it."", Negative, Goodreads, 2023-07-12 14:30:18, bookworm246, San Francisco, 0.68"
"""I'm impressed with the sound quality of these headphones. Excellent!"", Positive, Online Store, 2023-07-12 17:10:36, audiophile789, Berlin, 0.92"
"""The website design is sleek and user-friendly. Easy to navigate."", Positive, Website Testimonial, 2023-07-13 08:50:59, testimonialuser2, Sydney, 0.87"
"""I had a terrible experience with their delivery service. Late and unprofessional."", Negative, Online Store, 2023-07-13 11:25:27, shopper4567, Chicago, 0.64"
"""The concert was mind-blowing! The band knows how to put on a show."", Positive, Event Review, 2023-07-13 14:05:42, musiclover1234, Paris, 0.95"
"""I'm extremely disappointed with the customer support. No resolution."", Negative, Online Chat, 2023-07-13 16:35:19, user98765, Toronto, 0.61"
"""The hotel staff were rude and unprofessional. Terrible customer service."", Negative, Hotel Review, 2023-07-17 08:50:13, traveler789, Paris, 0.55"
"""The food at this restaurant was mediocre. Nothing special."", Negative, Zomato, 2023-07-17 11:32:59, foodlover2468, Mumbai, 0.65"
"""This song always puts me in a nostalgic mood. It reminds me of good times."", Positive, Spotify, 2023-07-17 14:20:05, nostalgiacat123, Berlin, 0.88"
"""The website loading speed is frustratingly slow. Needs improvement."", Negative, Website Review, 2023-07-17 17:15:22, user12345, Toronto, 0.62"
"""The food at this cafe exceeded my expectations. Absolutely delicious!"", Positive, Food Blog, 2023-07-13 19:18:53, foodlover246, Mumbai, 0.92"
"""I'm disappointed with the ending of this TV show. It left too many unanswered questions."", Negative, TV Show Review, 2023-07-14 08:32:41, tvfan123, Los Angeles, 0.66"
"""This album is a masterpiece. Every song is a work of art!"", Positive, Music Review, 2023-07-14 11:05:27, musicenthusiast1, London, 0.93"
"""The website layout is cluttered and confusing. Difficult to find information."", Negative, Website Review, 2023-07-14 14:40:05, user2468, Sydney, 0.67"
"""The roller coaster at this theme park is a thrilling experience. A must-try!"", Positive, Theme Park Review, 2023-07-14 17:25:09, thrillseeker3, Orlando, 0.91"
"""The product I ordered never arrived. Poor customer service."", Negative, Online Store, 2023-07-15 08:50:13, buyer1234, Chicago, 0.63"
"""I'm in awe of this artist's talent. Their paintings are breathtaking!"", Positive, Art Review, 2023-07-15 12:30:08, artlover123, Paris, 0.94"
"""The food at this restaurant was disappointing. Not worth the price."", Negative, Zomato, 2023-07-15 15:45:32, foodcritic246, Mumbai, 0.68"
"""This playlist is perfect for relaxation. Soothing and calming!"", Positive, Spotify, 2023-07-15 18:20:17, relaxmusiclover, Berlin, 0.91"
"""The website navigation is smooth and intuitive. I found what I needed quickly."", Positive, Website Testimonial, 2023-07-15 21:05:44, happyuser123, Toronto, 0.88"
"""The ride on this cruise ship was an unforgettable experience. I loved every moment!"", Positive, Travel Blog, 2023-07-16 09:12:54, travelenthusiast2, Sydney, 0.95"
"""The product I received was of poor quality. It broke after a few uses."", Negative, Online Store, 2023-07-16 11:45:32, shopper567, Los Angeles, 0.61"
"""This book kept me hooked from start to finish. A captivating read!"", Positive, Goodreads, 2023-07-16 14:23:18, bookworm7890, London, 0.90"
"""The customer service at this store is outstanding. They truly care about their customers."", Positive, Retail Store, 2023-07-16 17:05:46, happyshopper1, New York, 0.92"
"""I had a frustrating experience with their technical support. No resolution provided."", Negative, Online Helpdesk, 2023-07-16 19:40:27, user98765, San Francisco, 0.67"
"""The hotel staff were rude and unprofessional. Terrible customer service."", Negative, Hotel Review, 2023-07-17 08:50:13, traveler789, Paris, 0.55"
"""The food at this restaurant was mediocre. Nothing special."", Negative, Zomato, 2023-07-17 11:32:59, foodlover2468, Mumbai, 0.65"
"""This song always puts me in a nostalgic mood. It reminds me of good times."", Positive, Spotify, 2023-07-17 14:20:05, nostalgiacat123, Berlin, 0.88"
"""The website loading speed is frustratingly slow. Needs improvement."", Negative, Website Review, 2023-07-17 17:15:22, user12345, Toronto, 0.62"
"""I love this product!"", Positive, Twitter, 2023-06-15 09:23:14, @user123, New York, 0.85"
"""The service was terrible."", Negative, Yelp Reviews, 2023-06-15 11:45:32, user456, Los Angeles, 0.65"
"""This movie is amazing!"", Positive, IMDb, 2023-06-15 14:10:22, moviefan789, London, 0.92"
"""I'm so disappointed with their customer support."", Negative, Online Forum, 2023-06-15 17:35:11, forumuser1, Toronto, 0.78"
"""Just had the best meal of my life!"", Positive, TripAdvisor, 2023-06-16 08:50:59, foodie22, Paris, 0.88"
"""The quality of this product is subpar."", Negative, Amazon Reviews, 2023-06-16 10:15:27, shopper123, San Francisco, 0.72"
"""I can't stop listening to this song. It's incredible!"", Positive, Spotify, 2023-06-16 13:40:18, musiclover456, Berlin, 0.91"
"""Their website is so user-friendly. Love it!"", Positive, Website Testimonial, 2023-06-16 16:05:36, testimonialuser1, Sydney, 0.87"
"""I loved the movie! It was fantastic!"", Positive, IMDb, 2023-07-02 09:12:34, user123, New York, 0.92"
"""The customer service was terrible."", Negative, Yelp Reviews, 2023-07-02 10:45:21, user456, Los Angeles, 0.65"
"""This book made me feel inspired. Highly recommended!"", Positive, Goodreads, 2023-07-02 12:34:56, bookworm789, London, 0.88"
"""I'm extremely disappointed with their product quality."", Negative, Online Store, 2023-07-02 15:21:43, shopper789, San Francisco, 0.72"
"""Just had the most amazing vacation! I can't wait to go back."", Positive, TripAdvisor, 2023-07-02 18:01:23, travelenthusiast1, Sydney, 0.93"
"""The food at this restaurant was awful. Never going back again!"", Negative, Zomato, 2023-07-02 20:45:37, foodlover123, Mumbai, 0.55"
"""I can't stop listening to this song. It's my new favorite!"", Positive, Spotify, 2023-07-03 09:17:52, musiclover789, Berlin, 0.91"
"""Their website is so confusing and poorly designed."", Negative, Website Review, 2023-07-03 11:59:18, user789, Toronto, 0.68"
"""I had an incredible experience at the theme park. So much fun!"", Positive, Trip Report, 2023-07-03 14:40:05, thrillseeker1, Orlando, 0.89"
""
""
